title,year,director,country,runtime_minutes,rating,list_name,tags,source,ai_review,review
The Wizard of Oz,1939,Victor Fleming,USA,,9,20c film,20c-film; musical; fantasy; crowd-pleaser,Curated 20th-century film import,"The Wizard of Oz carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Gone with the Wind,1939,Victor Fleming,USA,,9,20c film,20c-film; epic; melodrama,Curated 20th-century film import,"Gone with the Wind carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Stagecoach,1939,John Ford,USA,,9,20c film,20c-film; western,Curated 20th-century film import,"Stagecoach carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
His Girl Friday,1940,Howard Hawks,USA,,9,20c film,20c-film; comedy; journalism,Curated 20th-century film import,"His Girl Friday carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Rebecca,1940,Alfred Hitchcock,USA,,9,20c film,20c-film; gothic; romance,Curated 20th-century film import,"Rebecca carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Citizen Kane,1941,Orson Welles,USA,,9,20c film,20c-film; canon; media,Curated 20th-century film import,"Citizen Kane carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Maltese Falcon,1941,John Huston,USA,,9,20c film,20c-film; noir; crime,Curated 20th-century film import,"The Maltese Falcon carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Casablanca,1942,Michael Curtiz,USA,,9,20c film,20c-film; romance; war; crowd-pleaser,Curated 20th-century film import,"Casablanca carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
To Be or Not to Be,1942,Ernst Lubitsch,USA,,9,20c film,20c-film; comedy; war,Curated 20th-century film import,"To Be or Not to Be carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Meshes of the Afternoon,1943,Maya Deren and Alexander Hammid,USA,,9,20c film,20c-film; experimental; dream; short,Curated 20th-century film import,"Meshes of the Afternoon carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Double Indemnity,1944,Billy Wilder,USA,,9,20c film,20c-film; noir; crime,Curated 20th-century film import,"Double Indemnity carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
"Rome, Open City",1945,Roberto Rossellini,Italy,,9,20c film,20c-film; neorealism; war,Curated 20th-century film import,"Rome, Open City carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Brief Encounter,1945,David Lean,UK,,9,20c film,20c-film; romance; restraint,Curated 20th-century film import,"Brief Encounter carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
It's a Wonderful Life,1946,Frank Capra,USA,,9,20c film,20c-film; crowd-pleaser; christmas,Curated 20th-century film import,"It's a Wonderful Life carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Notorious,1946,Alfred Hitchcock,USA,,9,20c film,20c-film; suspense; romance,Curated 20th-century film import,"Notorious carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Bicycle Thieves,1948,Vittorio De Sica,Italy,,9,20c film,20c-film; neorealism; poverty,Curated 20th-century film import,"Bicycle Thieves carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Third Man,1949,Carol Reed,UK,,9,20c film,20c-film; noir; post-war,Curated 20th-century film import,"The Third Man carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Rashomon,1950,Akira Kurosawa,Japan,,9,20c film,20c-film; truth; japan,Curated 20th-century film import,"Rashomon carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Sunset Boulevard,1950,Billy Wilder,USA,,9,20c film,20c-film; hollywood; noir,Curated 20th-century film import,"Sunset Boulevard carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Los olvidados,1950,Luis Buñuel,Mexico,,9,20c film,20c-film; mexico; poverty; childhood,Curated 20th-century film import,"Los olvidados carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
A Streetcar Named Desire,1951,Elia Kazan,USA,,9,20c film,20c-film; drama; desire,Curated 20th-century film import,"A Streetcar Named Desire carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Singin' in the Rain,1952,Stanley Donen and Gene Kelly,USA,,9,20c film,20c-film; musical; hollywood; crowd-pleaser,Curated 20th-century film import,"Singin' in the Rain carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Tokyo Story,1953,Yasujiro Ozu,Japan,,9,20c film,20c-film; family; japan,Curated 20th-century film import,"Tokyo Story carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Ugetsu,1953,Kenji Mizoguchi,Japan,,9,20c film,20c-film; ghost story; japan,Curated 20th-century film import,"Ugetsu carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Seven Samurai,1954,Akira Kurosawa,Japan,,9,20c film,20c-film; samurai; action,Curated 20th-century film import,"Seven Samurai carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
On the Waterfront,1954,Elia Kazan,USA,,9,20c film,20c-film; labour; drama,Curated 20th-century film import,"On the Waterfront carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Pather Panchali,1955,Satyajit Ray,India,,9,20c film,20c-film; childhood; india,Curated 20th-century film import,"Pather Panchali carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Night of the Hunter,1955,Charles Laughton,USA,,9,20c film,20c-film; noir; religion,Curated 20th-century film import,"The Night of the Hunter carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Searchers,1956,John Ford,USA,,9,20c film,20c-film; western; obsession,Curated 20th-century film import,"The Searchers carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Seventh Seal,1957,Ingmar Bergman,Sweden,,9,20c film,20c-film; faith; death,Curated 20th-century film import,"The Seventh Seal carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Wild Strawberries,1957,Ingmar Bergman,Sweden,,9,20c film,20c-film; memory; ageing,Curated 20th-century film import,"Wild Strawberries carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Vertigo,1958,Alfred Hitchcock,USA,,9,20c film,20c-film; suspense; obsession,Curated 20th-century film import,"Vertigo carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Some Like It Hot,1959,Billy Wilder,USA,,9,20c film,20c-film; comedy; crowd-pleaser,Curated 20th-century film import,"Some Like It Hot carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The 400 Blows,1959,François Truffaut,France,,9,20c film,20c-film; childhood; new wave,Curated 20th-century film import,"The 400 Blows carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Breathless,1960,Jean-Luc Godard,France,,9,20c film,20c-film; new wave; crime,Curated 20th-century film import,"Breathless carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Psycho,1960,Alfred Hitchcock,USA,,9,20c film,20c-film; horror; suspense,Curated 20th-century film import,"Psycho carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
La Dolce Vita,1960,Federico Fellini,Italy,,9,20c film,20c-film; celebrity; italy,Curated 20th-century film import,"La Dolce Vita carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Viridiana,1961,Luis Buñuel,Spain/Mexico,,9,20c film,20c-film; surrealism; religion,Curated 20th-century film import,"Viridiana carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
West Side Story,1961,Robert Wise and Jerome Robbins,USA,,9,20c film,20c-film; musical; crowd-pleaser,Curated 20th-century film import,"West Side Story carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Lawrence of Arabia,1962,David Lean,UK,,9,20c film,20c-film; epic; desert,Curated 20th-century film import,"Lawrence of Arabia carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Exterminating Angel,1962,Luis Buñuel,Mexico,,9,20c film,20c-film; mexico; surrealism; class,Curated 20th-century film import,"The Exterminating Angel carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
8½,1963,Federico Fellini,Italy,,9,20c film,20c-film; memory; cinema,Curated 20th-century film import,"8½ carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Leopard,1963,Luchino Visconti,Italy,,9,20c film,20c-film; history; class,Curated 20th-century film import,"The Leopard carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Dr. Strangelove,1964,Stanley Kubrick,UK/USA,,9,20c film,20c-film; satire; war,Curated 20th-century film import,"Dr. Strangelove carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Umbrellas of Cherbourg,1964,Jacques Demy,France,,9,20c film,20c-film; musical; romance,Curated 20th-century film import,"The Umbrellas of Cherbourg carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Battle of Algiers,1966,Gillo Pontecorvo,Italy/Algeria,,9,20c film,20c-film; politics; war; anti-colonial,Curated 20th-century film import,"The Battle of Algiers carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Persona,1966,Ingmar Bergman,Sweden,,9,20c film,20c-film; identity; modernism,Curated 20th-century film import,"Persona carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Graduate,1967,Mike Nichols,USA,,9,20c film,20c-film; youth; comedy,Curated 20th-century film import,"The Graduate carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Bonnie and Clyde,1967,Arthur Penn,USA,,9,20c film,20c-film; crime; new hollywood,Curated 20th-century film import,"Bonnie and Clyde carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
2001: A Space Odyssey,1968,Stanley Kubrick,UK/USA,,9,20c film,20c-film; science fiction; cosmos,Curated 20th-century film import,"2001: A Space Odyssey carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Once Upon a Time in the West,1968,Sergio Leone,Italy/USA,,9,20c film,20c-film; western; epic,Curated 20th-century film import,"Once Upon a Time in the West carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Midnight Cowboy,1969,John Schlesinger,USA,,9,20c film,20c-film; city; friendship,Curated 20th-century film import,"Midnight Cowboy carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Wild Bunch,1969,Sam Peckinpah,USA,,9,20c film,20c-film; western; violence,Curated 20th-century film import,"The Wild Bunch carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Godfather,1972,Francis Ford Coppola,USA,,9,20c film,20c-film; crime; family,Curated 20th-century film import,"The Godfather carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
"Aguirre, the Wrath of God",1972,Werner Herzog,West Germany,,9,20c film,20c-film; obsession; colonialism,Curated 20th-century film import,"Aguirre, the Wrath of God carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,France,,9,20c film,20c-film; surrealism; class,Curated 20th-century film import,"The Discreet Charm of the Bourgeoisie carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Exorcist,1973,William Friedkin,USA,,9,20c film,20c-film; horror; religion,Curated 20th-century film import,"The Exorcist carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Chinatown,1974,Roman Polanski,USA,,9,20c film,20c-film; noir; city,Curated 20th-century film import,"Chinatown carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Godfather Part II,1974,Francis Ford Coppola,USA,,9,20c film,20c-film; crime; family,Curated 20th-century film import,"The Godfather Part II carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Jaws,1975,Steven Spielberg,USA,,9,20c film,20c-film; thriller; blockbuster,Curated 20th-century film import,"Jaws carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,Chantal Akerman,Belgium,,9,20c film,20c-film; feminist cinema; routine,Curated 20th-century film import,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Taxi Driver,1976,Martin Scorsese,USA,,9,20c film,20c-film; city; alienation,Curated 20th-century film import,"Taxi Driver carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Star Wars,1977,George Lucas,USA,,9,20c film,20c-film; science fiction; crowd-pleaser,Curated 20th-century film import,"Star Wars carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Annie Hall,1977,Woody Allen,USA,,9,20c film,20c-film; comedy; romance,Curated 20th-century film import,"Annie Hall carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Apocalypse Now,1979,Francis Ford Coppola,USA,,9,20c film,20c-film; war; madness,Curated 20th-century film import,"Apocalypse Now carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Alien,1979,Ridley Scott,UK/USA,,9,20c film,20c-film; horror; science fiction,Curated 20th-century film import,"Alien carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Shining,1980,Stanley Kubrick,UK/USA,,9,20c film,20c-film; horror; madness,Curated 20th-century film import,"The Shining carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Raging Bull,1980,Martin Scorsese,USA,,9,20c film,20c-film; boxing; self-destruction,Curated 20th-century film import,"Raging Bull carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Raiders of the Lost Ark,1981,Steven Spielberg,USA,,9,20c film,20c-film; adventure; crowd-pleaser,Curated 20th-century film import,"Raiders of the Lost Ark carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Blade Runner,1982,Ridley Scott,USA/Hong Kong,,9,20c film,20c-film; science fiction; noir,Curated 20th-century film import,"Blade Runner carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
E.T. the Extra-Terrestrial,1982,Steven Spielberg,USA,,9,20c film,20c-film; family; crowd-pleaser,Curated 20th-century film import,"E.T. the Extra-Terrestrial carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Thing,1982,John Carpenter,USA,,9,20c film,20c-film; horror; paranoia,Curated 20th-century film import,"The Thing carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Sans Soleil,1983,Chris Marker,France,,9,20c film,20c-film; essay film; memory,Curated 20th-century film import,"Sans Soleil carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
"Paris, Texas",1984,Wim Wenders,West Germany/France,,9,20c film,20c-film; road movie; memory,Curated 20th-century film import,"Paris, Texas carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Come and See,1985,Elem Klimov,USSR,,9,20c film,20c-film; war; trauma,Curated 20th-century film import,"Come and See carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Blue Velvet,1986,David Lynch,USA,,9,20c film,20c-film; surrealism; suburbia,Curated 20th-century film import,"Blue Velvet carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Do the Right Thing,1989,Spike Lee,USA,,9,20c film,20c-film; city; race; summer,Curated 20th-century film import,"Do the Right Thing carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Goodfellas,1990,Martin Scorsese,USA,,9,20c film,20c-film; crime; violence,Curated 20th-century film import,"Goodfellas carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Silence of the Lambs,1991,Jonathan Demme,USA,,9,20c film,20c-film; thriller; horror,Curated 20th-century film import,"The Silence of the Lambs carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Unforgiven,1992,Clint Eastwood,USA,,9,20c film,20c-film; western; violence,Curated 20th-century film import,"Unforgiven carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Schindler's List,1993,Steven Spielberg,USA,,9,20c film,20c-film; holocaust; history,Curated 20th-century film import,"Schindler's List carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Pulp Fiction,1994,Quentin Tarantino,USA,,9,20c film,20c-film; crime; postmodern,Curated 20th-century film import,"Pulp Fiction carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Shawshank Redemption,1994,Frank Darabont,USA,,9,20c film,20c-film; prison; crowd-pleaser,Curated 20th-century film import,"The Shawshank Redemption carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Before Sunrise,1995,Richard Linklater,USA/Austria,,9,20c film,20c-film; romance; conversation,Curated 20th-century film import,"Before Sunrise carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Toy Story,1995,John Lasseter,USA,,9,20c film,20c-film; animation; family,Curated 20th-century film import,"Toy Story carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Fargo,1996,Joel Coen,USA,,9,20c film,20c-film; crime; comedy,Curated 20th-century film import,"Fargo carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Princess Mononoke,1997,Hayao Miyazaki,Japan,,9,20c film,20c-film; animation; ecology,Curated 20th-century film import,"Princess Mononoke carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Big Lebowski,1998,Joel Coen,USA,,9,20c film,20c-film; comedy; cult,Curated 20th-century film import,"The Big Lebowski carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
The Matrix,1999,Lana Wachowski and Lilly Wachowski,USA/Australia,,9,20c film,20c-film; science fiction; reality,Curated 20th-century film import,"The Matrix carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
Fight Club,1999,David Fincher,USA/Germany,,9,20c film,20c-film; identity; capitalism,Curated 20th-century film import,"Fight Club carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
All About My Mother,1999,Pedro Almodóvar,Spain,,9,20c film,20c-film; melodrama; gender,Curated 20th-century film import,"All About My Mother carries part of the twentieth century into a single line, which is exactly why a human should improve it.",Human champion pending.
