title,year,director,country,runtime_minutes,rating,list_name,award_year,result,tags,source,ai_review,review
The Lord of the Rings: The Two Towers,2002,Unknown,Unknown,,8,21c best picture nominations,2003,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2003,Academy Best Picture nominations import,The Lord of the Rings: The Two Towers entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Pianist,2002,Unknown,Unknown,,8,21c best picture nominations,2003,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2003,Academy Best Picture nominations import,The Pianist entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Lord of the Rings: The Return of the King,2003,Unknown,Unknown,,8,21c best picture nominations,2004,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2004; oscar-winner,Academy Best Picture nominations import,The Lord of the Rings: The Return of the King entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Lost in Translation,2003,Unknown,Unknown,,8,21c best picture nominations,2004,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2004,Academy Best Picture nominations import,Lost in Translation entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Master and Commander: The Far Side of the World,2003,Unknown,Unknown,,8,21c best picture nominations,2004,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2004,Academy Best Picture nominations import,Master and Commander: The Far Side of the World entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Mystic River,2003,Unknown,Unknown,,8,21c best picture nominations,2004,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2004,Academy Best Picture nominations import,Mystic River entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Seabiscuit,2003,Unknown,Unknown,,8,21c best picture nominations,2004,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2004,Academy Best Picture nominations import,Seabiscuit entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Million Dollar Baby,2004,Unknown,Unknown,,8,21c best picture nominations,2005,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2005; oscar-winner,Academy Best Picture nominations import,Million Dollar Baby entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Aviator,2004,Unknown,Unknown,,8,21c best picture nominations,2005,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2005,Academy Best Picture nominations import,The Aviator entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Finding Neverland,2004,Unknown,Unknown,,8,21c best picture nominations,2005,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2005,Academy Best Picture nominations import,Finding Neverland entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Ray,2004,Unknown,Unknown,,8,21c best picture nominations,2005,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2005,Academy Best Picture nominations import,Ray entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Sideways,2004,Unknown,Unknown,,8,21c best picture nominations,2005,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2005,Academy Best Picture nominations import,Sideways entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Crash,2005,Unknown,Unknown,,8,21c best picture nominations,2006,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2006; oscar-winner,Academy Best Picture nominations import,Crash entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Brokeback Mountain,2005,Unknown,Unknown,,8,21c best picture nominations,2006,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2006,Academy Best Picture nominations import,Brokeback Mountain entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Capote,2005,Unknown,Unknown,,8,21c best picture nominations,2006,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2006,Academy Best Picture nominations import,Capote entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
"Good Night, and Good Luck",2005,Unknown,Unknown,,8,21c best picture nominations,2006,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2006,Academy Best Picture nominations import,"Good Night, and Good Luck entered the Best Picture conversation; now it has to survive one sentence.",Human champion pending.
Munich,2005,Unknown,Unknown,,8,21c best picture nominations,2006,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2006,Academy Best Picture nominations import,Munich entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Departed,2006,Unknown,Unknown,,8,21c best picture nominations,2007,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2007; oscar-winner,Academy Best Picture nominations import,The Departed entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Babel,2006,Unknown,Unknown,,8,21c best picture nominations,2007,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2007,Academy Best Picture nominations import,Babel entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Letters from Iwo Jima,2006,Unknown,Unknown,,8,21c best picture nominations,2007,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2007,Academy Best Picture nominations import,Letters from Iwo Jima entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Little Miss Sunshine,2006,Unknown,Unknown,,8,21c best picture nominations,2007,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2007,Academy Best Picture nominations import,Little Miss Sunshine entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Queen,2006,Unknown,Unknown,,8,21c best picture nominations,2007,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2007,Academy Best Picture nominations import,The Queen entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
No Country for Old Men,2007,Unknown,Unknown,,8,21c best picture nominations,2008,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2008; oscar-winner,Academy Best Picture nominations import,No Country for Old Men entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Atonement,2007,Unknown,Unknown,,8,21c best picture nominations,2008,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2008,Academy Best Picture nominations import,Atonement entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Juno,2007,Unknown,Unknown,,8,21c best picture nominations,2008,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2008,Academy Best Picture nominations import,Juno entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Michael Clayton,2007,Unknown,Unknown,,8,21c best picture nominations,2008,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2008,Academy Best Picture nominations import,Michael Clayton entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
There Will Be Blood,2007,Unknown,Unknown,,8,21c best picture nominations,2008,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2008,Academy Best Picture nominations import,There Will Be Blood entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Slumdog Millionaire,2008,Unknown,Unknown,,8,21c best picture nominations,2009,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2009; oscar-winner,Academy Best Picture nominations import,Slumdog Millionaire entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Curious Case of Benjamin Button,2008,Unknown,Unknown,,8,21c best picture nominations,2009,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2009,Academy Best Picture nominations import,The Curious Case of Benjamin Button entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Frost/Nixon,2008,Unknown,Unknown,,8,21c best picture nominations,2009,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2009,Academy Best Picture nominations import,Frost/Nixon entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Milk,2008,Unknown,Unknown,,8,21c best picture nominations,2009,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2009,Academy Best Picture nominations import,Milk entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Reader,2008,Unknown,Unknown,,8,21c best picture nominations,2009,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2009,Academy Best Picture nominations import,The Reader entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Hurt Locker,2009,Unknown,Unknown,,8,21c best picture nominations,2010,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2010; oscar-winner,Academy Best Picture nominations import,The Hurt Locker entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Avatar,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,Avatar entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Blind Side,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,The Blind Side entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
District 9,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,District 9 entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
An Education,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,An Education entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Inglourious Basterds,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,Inglourious Basterds entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Precious,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,Precious entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
A Serious Man,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,A Serious Man entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Up,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,Up entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Up in the Air,2009,Unknown,Unknown,,8,21c best picture nominations,2010,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2010,Academy Best Picture nominations import,Up in the Air entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The King's Speech,2010,Unknown,Unknown,,8,21c best picture nominations,2011,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2011; oscar-winner,Academy Best Picture nominations import,The King's Speech entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
127 Hours,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,127 Hours entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Black Swan,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,Black Swan entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Fighter,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,The Fighter entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Inception,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,Inception entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Kids Are All Right,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,The Kids Are All Right entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Social Network,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,The Social Network entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Toy Story 3,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,Toy Story 3 entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
True Grit,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,True Grit entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Winter's Bone,2010,Unknown,Unknown,,8,21c best picture nominations,2011,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2011,Academy Best Picture nominations import,Winter's Bone entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Artist,2011,Unknown,Unknown,,8,21c best picture nominations,2012,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2012; oscar-winner,Academy Best Picture nominations import,The Artist entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Descendants,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,The Descendants entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Extremely Loud & Incredibly Close,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,Extremely Loud & Incredibly Close entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Help,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,The Help entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Hugo,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,Hugo entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Midnight in Paris,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,Midnight in Paris entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Moneyball,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,Moneyball entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Tree of Life,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,The Tree of Life entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
War Horse,2011,Unknown,Unknown,,8,21c best picture nominations,2012,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2012,Academy Best Picture nominations import,War Horse entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Argo,2012,Unknown,Unknown,,8,21c best picture nominations,2013,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2013; oscar-winner,Academy Best Picture nominations import,Argo entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Amour,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Amour entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Beasts of the Southern Wild,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Beasts of the Southern Wild entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Django Unchained,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Django Unchained entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Les Misérables,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Les Misérables entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Life of Pi,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Life of Pi entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Lincoln,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Lincoln entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Silver Linings Playbook,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Silver Linings Playbook entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Zero Dark Thirty,2012,Unknown,Unknown,,8,21c best picture nominations,2013,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2013,Academy Best Picture nominations import,Zero Dark Thirty entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
12 Years a Slave,2013,Unknown,Unknown,,8,21c best picture nominations,2014,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2014; oscar-winner,Academy Best Picture nominations import,12 Years a Slave entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
American Hustle,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,American Hustle entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Captain Phillips,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Captain Phillips entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Dallas Buyers Club,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Dallas Buyers Club entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Gravity,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Gravity entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Her,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Her entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Nebraska,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Nebraska entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Philomena,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,Philomena entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Wolf of Wall Street,2013,Unknown,Unknown,,8,21c best picture nominations,2014,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2014,Academy Best Picture nominations import,The Wolf of Wall Street entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Birdman or (The Unexpected Virtue of Ignorance),2014,Unknown,Unknown,,8,21c best picture nominations,2015,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2015; oscar-winner,Academy Best Picture nominations import,Birdman or (The Unexpected Virtue of Ignorance) entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
American Sniper,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,American Sniper entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Boyhood,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,Boyhood entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Grand Budapest Hotel,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,The Grand Budapest Hotel entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Imitation Game,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,The Imitation Game entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Selma,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,Selma entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Theory of Everything,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,The Theory of Everything entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Whiplash,2014,Unknown,Unknown,,8,21c best picture nominations,2015,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2015,Academy Best Picture nominations import,Whiplash entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Spotlight,2015,Unknown,Unknown,,8,21c best picture nominations,2016,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2016; oscar-winner,Academy Best Picture nominations import,Spotlight entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Big Short,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,The Big Short entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Bridge of Spies,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,Bridge of Spies entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Brooklyn,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,Brooklyn entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Mad Max: Fury Road,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,Mad Max: Fury Road entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Martian,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,The Martian entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
The Revenant,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,The Revenant entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Room,2015,Unknown,Unknown,,8,21c best picture nominations,2016,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2016,Academy Best Picture nominations import,Room entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Moonlight,2016,Unknown,Unknown,,8,21c best picture nominations,2017,winner,21c-best-picture; oscar-best-picture-nominee; best-picture-2017; oscar-winner,Academy Best Picture nominations import,Moonlight entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Arrival,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Arrival entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Fences,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Fences entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Hacksaw Ridge,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Hacksaw Ridge entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Hell or High Water,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Hell or High Water entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
Hidden Figures,2016,Unknown,Unknown,,8,21c best picture nominations,2017,nominee,21c-best-picture; oscar-best-picture-nominee; best-picture-2017,Academy Best Picture nominations import,Hidden Figures entered the Best Picture conversation; now it has to survive one sentence.,Human champion pending.
